City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Pundaguitan,PH,2022-10-12 21:13:05,6.3711,126.1689,82.53,76,93,12.88
165,Naze,JP,2022-10-12 21:05:58,28.3667,129.4833,74.37,78,86,22.26
166,Tuatapere,NZ,2022-10-12 21:13:05,-46.1333,167.6833,47.91,64,99,3.8
167,Sultepec,MX,2022-10-12 21:13:06,18.8667,-99.95,62.6,83,87,3.96
168,Rudiskes,LT,2022-10-12 21:13:07,54.5167,24.8333,42.01,92,12,4.7
169,Carnarvon,AU,2022-10-12 21:13:07,-24.8667,113.6333,59.83,47,0,19.06
170,Shahr-E Babak,IR,2022-10-12 21:13:08,30.1165,55.1186,63.72,19,0,2.93
171,Imeni Poliny Osipenko,RU,2022-10-12 21:13:08,52.4201,136.4853,34.02,92,96,8.41
172,Waipawa,NZ,2022-10-12 21:13:09,-41.4122,175.5153,46.0,93,100,9.06
173,Mar Del Plata,AR,2022-10-12 21:04:50,-38.0023,-57.5575,62.1,63,0,13.0
174,Abashiri,JP,2022-10-12 21:13:10,44.0213,144.2697,41.95,79,3,5.66
175,Faya,SA,2022-10-12 21:08:30,18.3851,42.4509,61.32,23,26,6.35
176,Lebu,CL,2022-10-12 21:10:23,-37.6167,-73.65,52.63,75,42,15.08
177,Dubbo,AU,2022-10-12 21:13:11,-32.25,148.6167,55.53,88,75,14.97
178,Bandarbeyla,SO,2022-10-12 21:13:12,9.4942,50.8122,78.03,83,15,9.06
179,Prince Rupert,CA,2022-10-12 21:13:12,54.3161,-130.3201,59.32,67,98,1.92
180,Bethel,US,2022-10-12 21:13:29,41.3712,-73.414,67.17,57,0,8.05
181,Sol-Iletsk,RU,2022-10-12 21:14:13,51.1631,54.9918,49.6,86,74,7.85
182,Belaya Kholunitsa,RU,2022-10-12 21:14:14,58.84,50.8528,42.12,94,99,2.3
183,Kamina,CD,2022-10-12 21:14:15,-8.7386,24.9906,68.74,56,31,4.92
184,Bansgaon,IN,2022-10-12 21:14:15,26.5586,83.3481,77.32,77,100,4.29
185,Ancud,CL,2022-10-12 21:04:21,-41.8697,-73.8203,47.75,51,65,15.26
186,Lucapa,AO,2022-10-12 21:14:17,-8.4192,20.7447,66.81,91,83,5.03
187,Aklavik,CA,2022-10-12 21:07:02,68.2191,-135.0107,27.63,69,10,0.94
188,Hadejia,NG,2022-10-12 21:14:17,12.4498,10.0444,85.98,39,68,7.94
189,Marsh Harbour,BS,2022-10-12 21:14:18,26.5412,-77.0636,82.08,75,96,10.22
190,Kaeo,NZ,2022-10-12 21:14:19,-35.1,173.7833,63.32,82,100,5.75
191,Pisco,PE,2022-10-12 21:14:19,-13.7,-76.2167,64.45,72,0,19.57
192,Kerewan,GM,2022-10-12 21:14:19,13.4898,-16.0888,81.43,75,85,4.5
