Hotel_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
286,Kedougou,SN,89.71,scattered clouds,12.5579,-12.1743,Relais de Kédougou
287,Kieta,PG,78.17,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
288,Uddevalla,SE,51.22,light rain,58.3478,11.9424,Best Western Hotel Carlia
290,Koumra,TD,78.55,scattered clouds,8.9126,17.5539,Yamtoide house koumra
291,Herat,AF,66.52,scattered clouds,34.5,62.0,
296,Comodoro Rivadavia,AR,76.86,clear sky,-45.8667,-67.5,Austral Hotel
297,Barwadih,IN,72.75,overcast clouds,23.8333,84.1167,Forest Rest House
298,Port Lincoln,AU,60.03,light rain,-34.7333,135.8667,Port Lincoln Hotel
300,Mahebourg,MU,71.89,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
301,Muros,ES,68.68,few clouds,42.7762,-9.0603,Apartment Av. Castelao
302,Kathmandu,NP,61.02,few clouds,27.7167,85.3167,Hotel Shanker Kathmandu
303,Penticton,CA,66.76,clear sky,49.4806,-119.5858,Penticton Lakeside Resort & Conference Centre
304,Williston,US,46.81,clear sky,48.147,-103.618,Hampton Inn & Suites Williston
306,Yulara,AU,65.8,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
307,Chapais,CA,49.05,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
308,Najran,SA,73.74,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
310,Hay River,CA,47.61,clear sky,60.8156,-115.7999,Ptarmigan Inn
311,Traverse City,US,46.47,broken clouds,44.7631,-85.6206,Bayshore Resort
312,Isangel,VU,72.32,overcast clouds,-19.55,169.2667,Tanna Lodge
313,Maarianhamina,AX,51.66,clear sky,60.0973,19.9348,Park Alandia Hotel
314,Port Blair,IN,81.0,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
316,Nuevo Casas Grandes,MX,60.75,broken clouds,30.4167,-107.9167,Hotel Villa Colonial
317,Komsomolskiy,UZ,65.12,overcast clouds,40.4272,71.7189,Ikathouse
318,Malanje,AO,71.44,light rain,-9.5402,16.341,Hotel Ginga
319,Tuy Hoa,VN,74.21,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
